Partlist exported from /home/javirosa/bin/Dropbox/Telit Meter Project/Schematics/MeterDB06/Meter-Daughterboard-input-v43JR.sch at 11/2/12 3:07 PM

Qty Value                                             Device                     Parts                                                                                         
1   .1 uF: BC1148CT-ND                                CAPPTH                     C15                                                                                           
2   .005: CSSH2728FT5L00CT-ND                         RESISTOR2728               R8, R25                                                                                       
2   .047 uF: P4602-ND                                 C-US225-062X268            C10, C31                                                                                      
1   0.0 : P0.0ECT-ND                                  RESISTOR1206               R10                                                                                           
1   1.1K: P1.1KECT-ND                                 RESISTOR1206               R9                                                                                            
20  1K : P1.00KFCT-ND                                 RESISTOR1206               R1, R4, R5, R6, R17, R20, R21, R22, R26, R27, R28, R29, R30, R31, R32, R35, R40, R41, R45, R46
2   1uF: 445-1423-1-ND(PCC2478CT-ND)                  C-EUC1206                  C7,C30                                                                                        
2   3.579M : X079-ND                                  CRYSTALHC49S               Y1, Y2                                                                                        
1   4.7uF : 399-3791-1-ND (478-3934-1-ND)             CAP_POL7343                C32                                                                                           
2   10 : P10ECT-ND                                    R-US_R1206                 R11, R16                                                                                      
1   10 uF : 399-3766-1-ND                             CAP_POL7343                C33                                                                                           
1   10 uF: P5148-ND                                   CAP_POLPTH2                C12                                                                                           
4   10.0K : P10KECT-ND                                RESISTOR1206               R13, R36, R38, R43                                                                            
4   10uF : 445-4043-1-ND(445-1401-1-ND/478-1625-1-ND) C-EUC1206                  C4, C5, C18, C22                                                                              
4   22pF : 399-1113-1-ND(PCC220CNCT-ND)               CAP0805                    C13, C14, C24, C25                                                                            
8   33nF: 445-4456-1-ND(PCC2469CT-ND)                 C-EUC1206                  C8, C9, C17, C19, C26, C27, C28, C29                                                          
1   74AHC1G32DBV:296-1093-1-ND                        74AHC1G32DBV               IC1                                                                                           
1   100 uF: P5152-ND                                  CAP_POLPTH1                C11                                                                                           
6   100n : 399-1249-1-ND                              C-EUC1206                  C1, C3, C6, C16, C20, C21                                                                     
1   150:P150ECT-ND                                    R-US_R1206                 R15                                                                                           
2   220u : PCE3858CT-ND                               CPOL-USD                   C2, C23                                                                                       
4   240-2418-1-ND                                     WE-CBF_1806                Z3, Z4, Z7, Z8                                                                                
4   240-2423-1-ND                                     WE-CBF_1812                Z1, Z2, Z6, Z9                                                                                
4   270 : P270FCT-ND                                  RESISTOR1206               R37, R39, R42, R44                                                                            
6   330k: P330KWCT-ND                                 R-US_R2010                 R2, R3, R7, R18, R23, R24                                                                     
2   1031K-ND                                          2,54/0,9                   PAD1, PAD2                                                                                    
4   A98342-ND                                         W237-102                   X1, X2, X3, X4                                                                                
2   ADE7753ARSZ-ND                                    ADE7753                    ADE1, ADE2                                                                                    
1   CP-102A-ND                                        POWER_JACKPTH              J1                                                                                            
9   H11L1SM-ND                                        H11L1MS                    OK1, OK2, OK3, OK4, OK5, OK6, OK7, OK8, OK9                                                   
4   MMBT2907A-FDICT-ND                                MMBT2907ALT1-PNP-SOT23-BEC Q1, Q2, Q3, Q4                                                                                
2   P7277-ND                                          S20K250                    R12, R14                                                                                      
2   RJ45-8PTH : 380-1022-ND                           RJ45-8PTH                  U$6, U$7                                                                                      
2   RT314F05-ND                                       RT424F054                  K1, K2                                                                                        
1   Red:754-1142-1-ND                                 LEDCHIPLED_1206            LED1                                                                                          
4   SCHOTTKY: MBR0540T1GOSCT-ND                       DIODESOD-123               D1, D3, D4, D5                                                                                
1   VBT2-S5-SMT:102-2122-1-ND                         VBT2-S5-SMT                U$5                                                                                           
